City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bansang,GM,92.5,overcast clouds,13.4333,-14.65,Margie's Lodge
3,Bengkulu,ID,75.88,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
11,Kalmunai,LK,75.33,overcast clouds,7.4167,81.8167,VS Villa
17,Butaritari,KI,82.02,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
20,Hithadhoo,MV,83.37,scattered clouds,-0.6,73.0833,Scoop Guest House
25,Bandarbeyla,SO,79.39,scattered clouds,9.4942,50.8122,JABIR HOTEL
27,Jamestown,US,79.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
29,Poum,NC,75.4,clear sky,-20.2333,164.0167,
33,Coari,BR,80.92,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
36,Pierre,US,76.86,clear sky,44.3683,-100.351,Ramkota Hotel
37,Lazaro Cardenas,MX,85.41,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
38,Natchez,US,90.25,scattered clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
39,Sur,OM,86.68,few clouds,22.5667,59.5289,Sur Plaza Hotel
45,Saint George,US,79.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
46,Sinnamary,GF,82.31,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
48,Hilo,US,75.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
50,Srivardhan,IN,82.72,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
51,Palmer,US,80.62,few clouds,42.1584,-72.3287,Wedgewood Motel
52,Alejal,PH,77.09,overcast clouds,7.3842,125.66,Mechillen Sapalicio
56,Lorengau,PG,80.35,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
60,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
62,Stephenville,US,93.81,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
63,Korla,CN,87.28,broken clouds,41.7597,86.1469,Gulisitan Hotel
65,Victoria,HK,80.94,light rain,22.2855,114.1577,Mini Central
69,Kathu,TH,86.76,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
80,Albany,US,79.52,scattered clouds,42.6001,-73.9662,
81,Auki,SB,76.77,scattered clouds,-8.7676,160.7034,Auki Motel
87,Kutum,SD,88.47,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
89,Dicabisagan,PH,79.41,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
91,Sao Filipe,CV,76.84,overcast clouds,14.8961,-24.4956,Hotel Xaguate
